int[] arr = {
6631, 7188, 9772, 1240, 9876, 2051, 9703, 9487, 8423, 8580, 4355, 1036, 7917, 4521, 596, 3282, 9076, 871, 450, 6897, 
7888, 3717, 5754, 8298, 7610, 1987, 8706, 2610, 5061, 887, 855, 6018, 8847, 7634, 2149, 9050, 1472, 8241, 6242, 8342, 
9586, 944, 6823, 9352, 8700, 970, 8444, 6213, 221, 2203, 7727, 8476, 8370, 9366, 7713, 5921, 7636, 5970, 5565, 8760, 
3665, 9023, 5158, 5516, 453, 3559, 5371, 7087, 8484, 4831, 4090, 2188, 567, 3836, 5870, 1976, 2337, 2947, 3894, 8087, 
9405, 1737, 9908, 5643, 4054, 473, 4543, 3383, 9586, 9748, 3174, 9762, 7212, 6354, 3968, 2663, 3693, 3110, 3765, 8249, 
8550, 5136, 9778, 1316, 2972, 9740, 5453, 4623, 2576, 1080, 7078, 1277, 6074, 6308, 5638, 2754, 7377, 8929, 7095, 2563, 
7754, 7147, 5888, 9078, 4043, 835, 4267, 8441, 9419, 2533, 8564, 734, 6664, 5305, 6288, 9684, 9476, 2469, 2856, 6385, 
1132, 159, 4048, 9675, 9958, 1311, 777, 582, 3143, 2387, 2223, 6647, 9055, 2189, 8783, 1863, 8722, 4983, 7641, 3252, 
3283, 2903, 302, 2722, 2990, 2205, 4343, 7918, 2354, 8649, 2401, 7554, 8042, 2553, 7896, 6548, 695, 8480, 271, 5258, 
9420, 6707, 7098, 2648, 7205, 4812, 5032, 9242, 8644, 578, 2128, 8365, 2281, 5344, 7574, 9015, 9406, 8593, 9738, 1607, 
3165, 5853, 7294, 5799, 8158, 8028, 1298, 8542, 7632, 3178, 2046, 5490, 8211, 4708, 9531, 922, 4368, 6990, 8670, 8194, 
5942, 9030, 9090, 2520, 7122, 9379, 497, 1587, 8874, 88, 7583, 5747, 6342, 2149, 4371, 5219, 1147, 4460, 1490, 4939, 
9205, 2097, 954, 1762, 3265, 9530, 8824, 9873, 8580, 9286, 9430, 6179, 156, 9674, 3445, 1880, 4817, 7318, 8786, 1257, 
8150, 6599, 3384, 7861, 5970, 8773, 2515, 9290, 8710, 5756, 188, 4704, 5211, 6825, 22, 1359, 489, 5114, 6259, 369, 
9718, 9688, 3907, 7857, 4441, 6416, 9867, 4339, 7098, 2460, 8990, 317, 8600, 7441, 8346, 115, 3638, 9634, 8450, 4929, 
5171, 3393, 8771, 8913, 4052, 9701, 5542, 3356, 6448, 7640, 8833, 1821, 8408, 999, 8666, 1009, 6066, 7853, 1273, 8107, 
3649, 3465, 936, 1956, 3170, 6315, 698, 5631, 7572, 2990, 789, 3962, 8933, 7039, 3821, 6369, 6534, 955, 3918, 381, 
2986, 7863, 6278, 6090, 2672, 3209, 6158, 3606, 7866, 4676, 3411, 9941, 2106, 5249, 2388, 8737, 2424, 920, 4746, 974, 
3938, 9966, 2399, 316, 4609, 552, 1564, 6373, 9219, 1774, 5060, 9527, 875, 3339, 4966, 7516, 209, 7249, 1635, 4676, 
4807, 5257, 1725, 2372, 2745, 6856, 6567, 584, 2144, 4317, 1503, 6484, 8339, 8070, 4548, 1896, 6010, 1667, 9974, 6689, 
7041, 8658, 8601, 2604, 534, 9785, 8757, 1846, 8287, 8195, 6526, 4560, 9611, 2993, 6090, 3278, 6419, 6930, 2468, 61, 
4444, 8909, 7853, 6420, 9612, 475, 9497, 1844, 8054, 9746, 3293, 8409, 3588, 7355, 1011, 3923, 2720, 4213, 6727, 8462, 
3999, 9859, 5506, 7068, 5514, 8176, 8768, 7973, 9882, 2387, 6160, 9733, 2480, 541, 6471, 4260, 9231, 6783, 3922, 1650, 
2103, 6281, 3526, 8849, 4414, 7133, 8357, 9037, 3452, 8018, 9600, 8790, 1171, 709, 35, 9150, 7961, 5273, 5634, 4718, 
3428, 6575, 9470, 7075, 305, 625, 4291, 1446, 3825, 504, 1601, 3769, 353, 2653, 8693, 5116, 612, 1932, 4548, 208, 
2559, 5493, 6708, 4371, 1169, 1053, 5590, 7178, 8828, 5681, 9811, 1677, 9556, 9690, 8706, 9451, 899, 9196, 8884, 9406, 
8967, 5992, 716, 5146, 6361, 1442, 2638, 3695, 8235, 2797, 2403, 127, 7533, 4177, 8134, 5705, 6827, 5327, 3598, 610, 
7831, 1291, 3993, 117, 1246, 9624, 8065, 2994, 9482, 722, 813, 5970, 4052, 1413, 8519, 1067, 7315, 5947, 8085, 7998, 
4325, 6242, 1143, 7758, 8041, 7803, 908, 5211, 3927, 4703, 1536, 2284, 9293, 7180, 2326, 6364, 1271, 8717, 366, 2619, 
6633, 8824, 9188, 3285, 348, 8337, 6021, 3695, 9747, 556, 4766, 8413, 568, 8368, 8594, 9745, 472, 3910, 3080, 9215, 
5672, 1025, 7727, 2555, 7731, 6055, 9359, 7156, 5569, 5406, 1534, 5818, 4933, 1170, 603, 954, 1075, 3714, 5594, 5386, 
2396, 4730, 797, 5728, 8135, 5979, 3339, 9341, 3950, 3111, 4687, 2279, 3890, 4025, 4432, 5348, 4332, 881, 312, 2002, 
8738, 2717, 1460, 3939, 4594, 5987, 343, 4326, 1005, 7658, 2235, 7649, 7107, 6073, 7365, 7866, 7447, 1559, 8052, 85, 
3678, 194, 4709, 5847, 1482, 8795, 918, 1834, 493, 4670, 7333, 3529, 6156, 7199, 6852, 6427, 7075, 1328, 7788, 4476, 
6207, 8895, 8555, 9335, 523, 1484, 9372, 3776, 890, 6073, 9953, 525, 3997, 2538, 2207, 309, 1458, 6539, 357, 5073, 
362, 2225, 6394, 8351, 9173, 6456, 8707, 1605, 7693, 6204, 7854, 5922, 5195, 740, 1679, 608, 5577, 2936, 6676, 7798, 
3157, 3043, 4342, 9226, 5935, 1059, 7103, 6772, 2768, 2061, 1298, 1341, 9495, 8926, 8283, 8758, 5168, 5229, 3396, 3941, 
9859, 6108, 6513, 1562, 3879, 1084, 2922, 608, 2017, 384, 5762, 8480, 8317, 7626, 1592, 9055, 7, 3186, 553, 375, 
823, 4405, 1072, 6067, 8055, 5114, 4700, 4931, 6082, 8320, 6748, 7168, 3722, 4051, 1529, 1705, 6374, 8205, 9504, 892, 
5782, 5657, 6603, 9761, 8021, 1555, 2635, 2448, 1626, 2827, 8611, 7091, 3995, 3416, 7428, 3750, 7423, 3049, 7633, 554, 
9117, 4902, 2558, 6457, 214, 5174, 6330, 5731, 6092, 5290, 3382, 9863, 126, 4422, 6417, 4718, 5505, 6720, 737, 1618, 
8236, 7777, 7360, 5580, 3872, 4856, 2097, 3434, 4866, 1230, 5597, 5550, 375, 1300, 4095, 8212, 9371, 4984, 1800, 1612, 
9869, 6199, 3183, 6629, 8410, 892, 9321, 8027, 4501, 38, 704, 6087, 5280, 1544, 3108, 5237, 9594, 506, 827, 8035, 
2565, 7645, 8694, 7509, 4434, 7980, 1921, 933, 4060, 7518, 9446, 9703, 6013, 6295, 5024, 4907, 1233, 9790, 6647, 7340, 
165, 6010, 2732, 5045, 5787, 6949, 6754, 3075, 8782, 9651, 9815, 2054, 7532, 6731, 1342, 9281, 4980, 5028, 8235, 7217, 
3517, 2667, 602, 6282, 8225, 1808, 2780, 2700, 8997, 7281, 7743, 8101, 1398, 1630, 6264, 8912, 7025, 7100, 3216, 1259, 
4302, 6357, 2248, 3142, 3050, 8092, 1130, 7287, 5840, 3582, 3998, 4939, 6756, 596, 5238, 7831, 9660, 5077, 8183, 1212, 
571, 2937, 3076, 7017, 2346, 8872, 4040, 6666, 6997, 6128, 5152, 5230, 4928, 6389, 3139, 8407, 3716, 9747, 6287, 1275, 
490, 5888, 7057, 3351, 4019, 861, 3167, 7650, 4753, 2106, 5782, 351, 5510, 7017, 2540, 5453, 9895, 4922, 6145, 1449, 
844, 2838, 7031, 1683, 9943, 8024, 2379, 9982, 8478, 4901, 5615, 5728, 9143, 2940, 3989, 121, 4463, 4025, 2970, 6865

};
